rating,text,word_count,food,service,place,cost,count
5 sao,món ăn ổn. không gian ổn. phục vụ ổn. nói chung là tốt đó,14,3,3,3,0,1
4 sao,đồ ăn cũng được! giá cả cũng không mắc lắm! phục vụ kém nhiệt tình,15,2,1,0,3,1
1 sao,"đến đây ăn và có trải nghiệm thật tệ, chất lượng món ăn bình thường, khẩu vị tùy người nhưng mình cảm thấy ở đây tạm ổn. về giá cả cũng tầm trung. có khu ngoài trời ven sông hoặc trong nhà nhưng mình nghĩ mọi người nên vào khu trong nhà vì ở ngoài sông hôi và có hàng cây chắn nên không mát lắm. đến đây thì 2 đứa order 1 nghêu hấp thái, 1 đậu hủ, 1 mẹt heo giòn. nghêu hấp thái ngon với nước dùng khá cay, nước chấm lạt, gia đình có trẻ em không nên gọi món này. còn đậu hủ chiên giòn bình thường, ăn kèm với mắm tôm nhưng bạn mình không ăn mắm tôm có nhờ bạn nhân viên đổi sang tương ớt thì bạn đó đi luôn và không trở lại sau khi lót dạ 2 món trên thì tụi mình ngồi chờ cái mẹt cả tiếng, hỏi bạn nhân viên thì bạn đó báo bếp đang làm. chờ thêm 15 phút nữa có 1 bạn khác ra thông báo món đó hết rồi ? thật sự lúc này mình muốn bỏ về nhưng vì đang đói nên order món khác là gà tiềm ớt hiểm. đợi thêm 40 phút nữa, lúc này gần 10h rồi vẫn chưa thấy món, bên mình hối nhân viên xong thì bưng ra được nồi lẩu chưa có gà à vị nước lẩu không cay lắm, không thơm mùi ớt hiểm, gà mềm. ngay cả khi bọn mình kêu tính hóa đơn trước mà còn chậm chạp. nhận hóa đơn may mà kiểm tra lại vì quán tính tiền cả mẹt heo cho bọn mình chưa kể ăn về bị đau bụng",289,2,1,3,3,1
3 sao,"ưu điểm: - rộng rãi thoáng mát có nhiều phòng vip và nhiều bàn nên những dịp lễ không lo thiếu - nhiều món, ăn cũng được, không quá xuất sắc cũng không dở - gỏi bò bóp thấu, mực nướng muối ớt ngon - giá cả tạm được khuyết điểm: - lên món lâu quá trời lâu, đặt món trước để chuẩn bị rồi mà vẫn còn đợi khoảng cách giữa các lần lên món quá trời lâu, làm mình bị no luôn không có hứng gọi thêm gì khác",91,3,1,2,3,1
5 sao,"mình đến quán vào dịp lễ nên cũng khá đông, điểm cộng là quán lại có view xem được pháo hoa. thức uống ở mức trung bình, không đặc sắc lắm. giá thành tầm trung so với khu vực. nhân viên khá nhiệt tình. điểm trừ là toilet quá dơ chỉ có 2 cái và nam nữ đi loạn xạ, mùi đến cả ngoài sảnh thang máy, nên cân nhắc khi ở lại đây quá lâu.",76,1,2,1,3,1
2 sao,"thấy mở được vài tháng nên ghé thử trong dịp tết này. đồ ăn khá khô khan, gà tươi ổn, giá cả ổn. có một điểm là nhận được thẻ cào với hoá đơn 100 vnd của mình 317 vnd, tưởng được 3 thẻ. cái đó không nói. đáng chú ý là mình có con nhỏ, nhân viên bắt cào tại quầy. mình nói đem lên lầu để cho mấy đứa nó cào, dù gì cũng ăn tại quán chứ có mang đi. nói mãi mới hiểu được vấn đề. nhận được phần thưởng ly nước ngọt refill. phần ăn mình đã có 4 lý rồi, thêm 1 nữa là 5, nhân viên nói để dành cho lần sau. mình tính là vậy cho đến khi ăn xong, xin cái nắp ly để mang nước về do refill uống không hết. không có nắp, ổn, vẫn không sao. rồi mình xin cái bịch, không cho bịch để cầm ly mang về luôn. wow. mình mới hỏi nếu khách mua mang về thì cầm kiểu gì, nhân viên nam không giải thích gì thêm mà chỉ nói là không có bịch. đến cái bịch còn không có thì chịu. cách tới già nhé. xin cám ơn. ps: không rảnh chụp bill. chỉ nhớ chính xác một phần a1 và a4 cộng thêm chai nước suối 317 vnd. bye bye.",228,1,1,0,2,1
5 sao,"mình biết quán này qua tiktok thấy không khí ổn nên ghé quán thử thì thấy cũng ổn món ăn giá có hơi cao hơn so với thị trường nhưng đồ ăn ổn với tầm giá, nhân viên phục vụ ổn",41,3,3,2,1,1
5 sao,"hôm nay đi thấy hủ tiếu thái 35 vnd. nghĩ hủ tiếu hải sản ai dè chỉ có heo và bò. ăn cũng được vì thấy không khác hủ tiếu nam vang hay hủ tiếu thịt heo xí quách, đồ ăn khá nhiều, giá cả ổn. không gian nhỏ chỉ 1 dãy ngay chỗ bếp.",55,3,0,3,2,1
4 sao,"quán đông, trông giữ xe miễn phí, nếu đông phải chui tít vào trong rồi đi bộ ra. phục vụ khá nhanh chóng, tuy nhiên do đông nên nhân viên đôi lúc quên này nọ, gọi xong vâng dạ rồi lại quên. vị ăn được, cho hơi nhiều gân da nên ăn ban đầu ổn, về cuối sẽ bị ngấy. rau cho mỗi 1 phần quá ít, phần to hay nhỏ đều chỉ 1 rổ rau bé xíu, không rõ có tính thêm tiền không nhưng rổ nồi lẩu gần 400 vnd mà rổ rau bé tí tẹo nói chung cũng được.",102,3,1,3,1,1
5 sao,"là tín đồ của món mì cay hàn quốc đã lâu, nay mới dịp đi ăn thử buffet dookki với các món ăn đặc trưng của hàn quốc như bánh gạo các loại, chả cá, lẩu cay đến siêu cay. mình ăn dookki ở chi nhánh phan văn trị trong vincom gò vấp. điểm cộng: các món ăn khá ngon, nước sốt pha mình dùng loại dookki ngon nhất, do mình ăn mì cay hàn quốc đã quen với vị cay tương đương cấp 2 nên khi dùng loại sốt pha này để nấu chung với nước lẩu khá là ổn. chả cá xiên giá trong siêu thị lotte mart nam sài gòn là 22 vndxiên vị vừa ăn, chấm kèm nước sốt riêng ăn có vị rất ngon. nước lẩu nếu hết thì khách có thể tự lấy thêm trên line. các bạn nên order thêm phô mai vòng ngay từ đầu để nhân viên chuẩn bị chung với nồi nước lẩu, ăn lẩu cay cay mà quệt chút phô mai có vị beo béo sẽ làm dịu vị cay ngay lập tức. free nước ngọt, khăn lau. có kệ trưng bày mì cay đóng gói, nếu bạn nào có nhu cầu ăn mì cay thì có thể chọn loại yêu thích và nhờ các bạn nhân viên chế biến dùm riêng món này là các bạn nhân viên sẽ nấu và bưng ra bàn, không phải mì dùng để ăn lẩu. điểm trừ: ghẹ lăn bột có vẻ không được tươi, mình ăn nửa con thấy bột có vị hơi đắng nên bỏ luôn, không ăn món ghẹ nữa. nấm dùng để ăn kèm lẩu hơi ít và đơn điệu, chỉ có 1 loại nấm bào ngư trắng. ăn toàn món cay nóng nhưng mình và bạn đi cùng lại có cảm giác như nhà hàng không bật máy lạnh, ngồi ăn trong khu trung tâm thương mại mà cảm giác như ăn vỉa hè vì quá nóng, không có chút cảm giác mát mẻ gì hết, mồ hôi đổ ròng ròng. chốt: mình đi 2 người, hết 139 vndngười lớn 69 vnd vòng phô mai. so với chất lượng món ăn, cách phục vụ, thái độ nhân viên thì đây là mức giá mà mình rất là hài lòng, lại còn giữ nguyên mức giá vào các ngày cuối tuần. thời gian giới hạn ăn buffet chỉ có 90 phút, ban đầu 2 đứa mình tưởng là ăn sẽ không no, nhưng kết quả lại là no không tưởng vì toàn là mì, bánh gạo các kiểu không mà, lại còn nốc thêm 2 ly coca nhỏ, nên các bạn đừng quá lo lắng về mốc thời gian bị giới hạn nhé mình sẽ quay lại dookki lần nữa nếu như có dịp đi ăn uống cùng bạn bè ;",473,3,2,1,2,1
1 sao,"cả bạn nam bạn nữ hát từ đầu buổi tới cuối buổi ối dồi ôi, hát dở khủng khiếp, không bằng đứa trẻ con hát, hát sai nhịp, cao độ không đúng, chênh phô thất vọng có bạn gảy guitar thì nghe ổn áp. quán cũng bình thường, giá đồ ăn đồ uống quá chát so với chất lượng. khoai tây chiên chế biến chẳng giống ai, sắt cục chiên ăn mà cứ ngỡ là khoai hấp. bước vô bạn phục vụ nói hôm nay có acoustic hỏi có muốn ngồi dưới nghe không, nhưng không nói thu tiền. ngồi 1 hồi sau bạn ấy ra nói có ban nhạc nên phụ thu 30 vnd người thôi cũng chấp nhân được không sao. mình tới hôm thứ 7 ngày 08072023",130,1,1,3,1,1
3 sao,"quán decor khá đẹp, theo mình. mình ngồi dưới nhưng có lên lầu đi wc thì không gian trên lầu cũng rộng nhé. mình đi 2ng, gọi 1 trà thơm lá nếp và 1 cà phê himalaya - cà phê muối ấy. trà thì thơm thơm chua chua, khá hợp vị giác mình. cafe muối uống ổn áp nhé, cafe vừa đủ ngọt, không quá đắng và có mặn mặn của muối. khi mình đi nhân viên bình thường, chỉ có chỗ nhà wc của quán thì hơi hôi và vòi rửa tay cũng không có nước dù có để xà phòng ở đó, ngồi làm việc lâu thì mình không chấm điểm này lắm. giá cũng không quá rẻ dù nước uống ổn, nhưng cần cải thiện thêm dịch vụ, giá có bao gồm dvu mà. cà phê 40 vnd, trà 55 vnd.",144,2,1,3,1,1
5 sao,"quán rộng rãi và sạch sẽ, nhiều góc sống ảo. đồ uống thì bình thường, giá cá ở tầm trung.",20,1,0,2,3,1
4 sao,"một quán chay bình dân. mình ăn vào món nước ở đây giá 0 tương đối dễ ăn tuy nhiên vị chưa đặc biệt. vì quán bình dân nên mình cũng không yêu cầu quá cao. tô ở đây mình cảm thấy nhiều, ăn rất no. dĩa rau mình cũng ăn hết. nói chung tầm giá 25 vnd vậy là ổn. quán phần lớn là ngồi bàn xếp ở vỉa hè. bán từ sáng đến tối.",76,3,0,1,3,1
5 sao,"các bạn nhân viên nhiệt huyết và dễ thương cực nhé, chăm sóc khách kỹ. đồ ăn mình thấy cũng được, giá cả ổn.",24,3,2,0,3,1
5 sao,"trăng non có thể là một điểm hẹn cho bạn bè lâu ngày chưa gặp, quán có view landmark khá chill, trang trí quán theo các dịp lễ, vào cuối tuần sẽ đông một chút, nếu bạn thích yên tĩnh thì nên đi vào các ngày đầu tuần . nhân viên thân thiện, tận tình, menu giá tầm trung, phù hợp.",61,0,2,2,3,1
5 sao,"nhân viên phục vụ dễ thương, thân thiện. giá nước tầm 45 vnd trở lên, phí giữ xe 6 vnd nhé",21,0,2,0,3,1
5 sao,"quán mình yêu thích, đồ ăn đa dạng, khá hợp miệng, ngon, nhưng do nhà có con nít nhiều nên kêu mấy món hơn thiên béo thì dễ ngán, mình đi cuối tuần có book phòng riêng nhưng do lượng khách khá đông nên cứ ăn một món ít ít lại phải đợi 5-10p để ăn tiếp nên khá dễ chán miệng và không vui lắm. nên trải nghiệm thử nhé ạ, nhân viên dễ thương lắm, giá cả hợp lý.",81,2,1,3,2,1
4 sao,"đi ngang thấy quán màu vàng nổi bần bật ở ngã 4 nguyễn thái sơn - phan văn trị. để bảng giá 35 vnd để hút khách nhưng chỉ có tô hủ tiếu heo có giá đó thôi nhé quý vị vào đây thì mình hay ăn hủ tiếu tomyum và pi thai. tomyum không chua nhưng có dầu ớt ăn không cẩn thận bị sặc lúc nào không hay pi thai thì nước dùng thanh hơn. điểm cộng là lát thịt dày cui và cho nhiều, sợi hủ tiếu dai ngon. gia vị để bàn gồm sa tế, prik nám sôm cay nhé với sốt suki chấm thịt. tại quán có quầy trà đá tự phục vụ, khăn ướt để sẵn trên bàn có tính phí. tốc độ ra món không lâu lắm. 1 khẩu phần ăn sẽ hơi ít đối với những ai ăn mạnh nên giá cả nhìn chung hơi đắt xí. lúc tính tiền thì phải đến quầy thu ngân để thanh toán.",167,2,3,0,1,1
5 sao,"quán chill cùng bạn bè và người yêu, view đẹp, đồ ăn ngon, giá cả trung bình so với mặt bằng chung, nhân viên phục vụ tận tình, tuy nhuên có hơi giành đồ ăn của khách. nói chung duyệt ổn",41,2,1,2,3,1
5 sao,"không phải 1 nhà hàng sang trọng, khẩu vị cũng ổn, nhưng giá thành hơi cao. nhân viên phục vụ tốt.",21,3,2,1,1,1
5 sao,"đối với tôi, như vậy là ổn, thoải mái, phục vụ nhiệt tình.",13,0,2,3,0,1
5 sao,"đồ ăn khá ổn , nhân viên tường dthw dữ luôn , không gian cũng ổn nói chung xứng đáng trong tầm giá",23,3,2,3,2,1
1 sao,"update 102025: lần đầu mình đánh giá quán 3 sao. hôm nay sửa thành 1 sao. có nhiều người góp ý về vấn đề vệ sinh rồi, mà quán vẫn trả treo với khách được thì thiết nghĩ bạn không thích hợp với ngành dịch vụ. hôm nay vì không biết ăn cái gì, quán gần nhà mình, nên mình ghé để thay đổi khẩu vị. quán đã đổi sang địa chỉ mới, phía bên kia đường bên cạnh apollo nguyễn thái sơn. quán mới đẹp hơn, có điều hoà mát. không biết là quán sang nhượng hay vẫn chủ cũ. vào quán chỉ có một nam thanh niên bán hàng, thay vì bạn nữ trẻ ở quán cũ. bạn nữ này thích xưng chị, gọi người khác bằng em. lần này mình nhận được một tô bún có rắc một nắm hành phía trên, hành sống hoàn toàn, cắt còn chưa đứt mà thành vài khúc dài nối vào nhau bực quá nên mình hớt bỏ đi, tính không chụp ảnh, không comment thêm gì nữa vì quán này không có khả năng tiếp nhận góp ý. một hồi bạn bán hàng bưng ra rổ rau sống, giá đỗ vừa thâm vừa cũ như hình chắc để từ hôm qua. đến lúc này thì mình không thốt nên lời nữa. mình không ăn một cọng rau sống nào. nhưng khi ra về thì bắt đầu thấy nhâm nhẩm đau bụng. giống như một bạn đã từng review và bị quán trách ngược là do bụng bạn ấy không hợp với món bún của quán ?!. không còn gì để nói thêm nữa. vừa hại sức khoẻ, vừa bực mình. - ưu điểm là giá rẻ, dành cho sinh viên vì địa điểm gần trường công nghiệp. quán dành cho tệp khách hàng dễ tính, miễn ăn no là được. topping đầy đặn so với giá thành. nhược điểm: vệ sinh kém. cụ thể là việc rửa chén. chén dĩa rửa ướt nguyên, lật cái chén lên là thấy chén phía dưới đầy ngập nước, và mấy cái bên dưới nữa cũng thế. quán khá nhỏ, chỉ có vài bộ bàn ghế. không biết nhân viên hay chủ quán bán hàng nhưng mình không thấy lịch sự cho lắm. món ăn không thực sự hấp dẫn để quay lại.",389,1,1,2,2,2
3 sao,"quán nhỏ, cạnh mặt đường khá ồn ào, nhưng lại đông vui nhộn nhịp giá tầm trung, các món ăn cũng dạng hương vị không tệ nhân viên dễ thương nhiệt tình, quán khá ít bàn, vị trí trên lầu nên được đặt trước",44,2,2,1,3,2
5 sao,quán đông mà chỉ có 1 bạn nữ nhỏ mà có võ vậy chứ bạn cân tất chỉ là chờ hơi lâu chút đồ ăn ngon quán hơi nóng và dơ,31,2,3,1,0,2
4 sao,"hủ tiếu ăn ngon, lên món cũng vừa phải không bị lâu, có đều nếu training nhân viên chuyên nghiệp hơn thì càng tốt, với vị trí quán nằm chỗ mặt tiền dễ tìm, nhiều xe qua lại, có đều nằm ngay con dốc, xe đậu đèn đỏ nhiều xong rồi ga thì mùi khói hơi nồng nặc, ngồi ăn chút hít cũng hơi bị nhiều khói.",67,2,3,1,0,2
4 sao,"không gian: không gián hơi chật, khá đông, nhiều bàn dịch vụ: nhân viên phục vụ nhanh chóng. không quá niềm nở nhưng không tệ món ăn: hủ tiếu tomyum: không quá cay, ăn ổn, đậm vị hủ tiếu pi thái: đậm vị trà sữa thái xanh: uống với đá thì nhạt",52,3,3,1,0,2
4 sao,quán có phòng lạnh! không gian ổn! giá cả ổn đồ ăn ổn,13,3,0,3,3,2
4 sao,"quán làm món nóng tại chỗ, mình ăn thử cơm cá mặn, món best-seller của quán. tuy nhiên, cá mặn để dạng nguyên 1 miếng nhỏ, chứ không xé ra nên không thấm vào cơm, nhìn miếng cá không nguyên vẹn cũng chưa hấp dẫn. nhân viên nhiệt tình, giá cả phải chăng",53,1,2,0,2,2
5 sao,quán ổn áp để chill. giá vừa phải đáng để thử. có góp ý nhẹ là nhận biết quán có hơi khó vì khi mình đến không ai hướng dẫn cả. mong quán buôn mai bán đắt nhé!,38,0,1,0,2,2
5 sao,"đồ ăn ổn, giá cả ổn, phục vụ oh no. đáng lẽ cho 3 sao nhưng mà để 5 sao khỏi ảnh hưởng, không thay đổi cách phục vụ sẽ mất khách hết, tôi không đến nữa",37,3,1,0,3,2
5 sao,"quán nhậu rất đông vào buổi tối, nhất là cuối tuần. không đặt trước thì chắc chắn tới sẽ hết bàn do quán khá nhỏ, ít bàn. giá cả cũng tầm trung, đồ ăn cũng ổn nhậu lai dai rất hợp lý. vừa nhậu vừa tám 6 vừa ngắm đường phố kẹt xe, xa xa vài chục mét là đường rau tàu lửa.",63,2,0,1,3,2
4 sao,"quán gần nhà nên mình ghé ăn thử, đi buổi tối khá đông phải lấy số ngồi chờ. mình chọn lẩu thái và trường thọ, nước lẩu khá ngon, thanh, không quá đậm đà. rau củ phong phú, sạch sẽ, tàu hủ ki với miến dong ăn giòn dai rất ngon. không gian thoáng mát, hơi ồn vì có trẻ nhỏ nghịch chỉ trừ 1 sao cho quán đó là không nên đặt bàn ăn ngay trước chỗ ra vào phòng vệ sinh, rất bất tiện. ngoài không được vệ sinh, thì người ra vô rất thường xuyên. mình được sắp cho bàn ngay đó, khi nhờ nhân viên đổi bàn thì bạn nhân viên khá thái độ, kiểu như quán đã đông mà còn kén chọn, bạn nói mình ra ngồi đợi tiếp có bàn sẽ gọi bàn trống vẫn còn. cũng đợi cả 10p sau mới được ngồi bàn khác.",152,2,1,3,0,2
5 sao,đi lễ nên phụ phí thêm 10 vnd 1 vé 109 vnd lẩu tomyum ngon lẩu chao bình thường rau tươi ngon. refill liên tục quán khá đông. đi nên đặc bàn trước,33,2,0,3,3,2
5 sao,"giá cả hợp lí 148 vndngười - không gồm thịt, quầy buffet rau khá đa dạng và đầy đủ. tuy nhiên nếu ngồi ngoài trời thì có thể bị lá cây rớt xuống bàn thậm chí là rớt vào nồi lẩu, cần lưu ý để an toàn vệ sinh",49,3,0,1,2,2
2 sao,"quán ngồi vỉa hè cực chật chội, rất dơ, phục vụ cực chậm và ngó lơ khách, món ăn bình thường không ngon lắm, giá được",26,3,1,1,2,2
5 sao,"giá là 153 vnd 1 người nhé, đồ ăn ngon, sốt lẩu ngon, thịt heo được cho cũng ngon đồ ăn sẵn quá ngon, thấy hỏng gì chê, nhưng hên xui có ngày đi không sao có ngay đi về bị tieu chảy. tôi ăn bình thường tới phút 20 là muốn gục ngã rồi, học theo công thức trên tiktok pha sốt lẩu, cơm trộn rồi thịt heo xào,. ta nói bá cháy bọ chét luôn á chèn, phải nói là tận dụng triệt để 1h30p để ăn luôn á, gần hết giờ còn phải tranh thủ ăn á là hỉu gòi nhé, ai ăn nhanh ngán thì học theo trên tt nhé, hạn chế uống nc ngọt nhìu vaf ăn cơm nhiều vì sẽ dễ nhanh no nè. tôi đi buổi trưa á sẽ khá vắng, buổi tối là phải xếp hàng lâu đó nhé",147,2,0,3,3,2
3 sao,"quán rất đông khách,mua về chờ hơi lâu.nhìn có vẻ hấp dẫn,ăn thử xem sao.1 con 2 người thêm 4 ổ bánh mì hết tổng cộng 140 vnd",28,3,1,0,3,2
3 sao,"quán nóng, đồ ăn chỉ ở mức khá gọi nước hết 15 phút chưa có cải thảo chơi cả bẹ giá khá cao quán nhà gỗ khá sạch sẽ, sẽ không có lần sau",34,3,0,1,1,2
4 sao,"không gian thoáng mát, đồ ăn ổn, nhân viên bữa đó phục vụ hơi chậm, giá hơi cao",18,3,1,2,1,2
3 sao,"m đã thử quán ở trần quang khải và nguyễn thái sơn. theo khẩu vị của mình thì hủ tiếu ăn ổn chứ không ngon xuất sắc, nước dùng thanh không dầu mỡ, topping ít so với giá. giá khá cao so với khẩu phần 1 suất trà sữa uống kèm đá hơi nhạt. thích kiểu dùng ly nhôm ở quán. quán không gian mở không có điều hoà, bảo vệ ngồi gần đó hút thuốc lá bao nhiêu khói bay hết vào quán cái này làm m thấy không hay lắm.",92,3,0,1,1,2
3 sao,"không gian nóng hầm, tầng 2 dơ, bàn dầu mỡ nhân viên thì tùy người, có người lịch sự, có người thô lỗ, bảo vệ cũng lịch sự thức ăn ổn, không có gì bàn cãi nhiều khi rất đông do gần trường đại học, đôi lúc vắng tanh, cả 2 đồ ăn phải đợi rất lâu quán dễ tìm, gần trường đại học trưa có bán các combo rẻ, ngon nên mua về hoặc giao hàng tận nơi",79,3,1,1,2,2
5 sao,"không gian không được rộng rãi lắm. tuy nhiên món ăn khá ổn, phục vụ được.",16,3,3,1,0,2
